name	website	twitter	city	country	continent	lat	lon	in relation with Mozilla?	subset	primary tactic	secondary tactic	organization type
FRIDA The Young Feminist Fund	http://youngfeministfund.org/	FRIDAfund	none		none		none	no	yes	Grants	none	Foundation
Hacks/Hackers	https://hackshackers.com/	HacksHackers	none		none		none	yes	yes	Local organizing	Education and training activities	Nonprofit organization
localization lab	https://www.localizationlab.org/	L10nLab	none		none		none	no	yes	Consulting	none	Nonprofit organization
Majal.org	Majal.org	majalorg	none		none		none	yes	yes	Local organizing	none	Nonprofit organization
Mastodon	https://joinmastodon.org	MastodonProject	none		none		none	no	yes	Technology	none	Nonprofit organization
National Digital Inclusion Alliance	https://www.digitalinclusion.org	netinclusion	none		none		none	yes	yes	Policy campaigns	Research	Nonprofit organization
Netsquared	https://netsquared.org/	netsquared	none		none		none	yes	yes	Education and training activities	Local organizing	Nonprofit organization
Privacy Enhancing Technologies Symposium (PETS)	https://petsymposium.org/	PET_Symposium	none		none		none	no	yes	Event	none	Event
Prototype Fund	https://prototypefund.de/en/	prototypefund	none		none		none	no	yes	Grants	none	Nonprofit organization
RightsCon	https://www.rightscon.org/	rightscon	none		none		none	no	yes	Event	Local organizing	Event
Rust Language	https://www.rust-lang.org/en-US/index.html	rustlang	none		none		none	yes	yes	Technology	none	Collective
secure scuttlebutt	https://github.com/ssbc	none		none		none		no	yes	Technology	none	Collective
South by Southwest	https://www.sxsw.com/	none		none		none		no	yes	Event	none	Event
spider oak	https://spideroak.com/	spideroak	none		none		none	no	yes	Technology	Commercial products	Company (public or private)
the battle for the net coalition	https://www.battleforthenet.com/	battleforthenet	none		none		none	no	yes	Policy campaigns	Online organizing	Collective
The Engine Room	https://www.theengineroom.org/	EngnRoom	none		none		none	yes	yes	Consulting	Education and training activities	Nonprofit organization
